id,parameter_set_id,source,qualifier,amount,units
12335,3704,Incentive,min,35.0000,$/Unit
12336,3704,Incentive,max,1050.0000,$
12337,3705,Incentive,min,300.0000,$/Unit
12338,3705,Incentive,max,1050.0000,$
12339,3706,Incentive,min,300.0000,$/Unit
12340,3706,Incentive,max,2700.0000,$
12341,3707,Incentive,min,300.0000,$/Unit
12342,3707,Incentive,max,400.0000,$
12343,3708,Incentive,,150.0000,$/Unit
12344,3709,Incentive,,50.0000,$/Unit
12345,3710,Incentive,min,25.0000,$/Unit
12346,3711,Incentive,,25.0000,$/Unit
12347,3712,Incentive,,75.0000,%
12348,3713,Incentive,,70.0000,%
12365,1128,Incentive,max,300000.0000,$
12366,1130,Incentive,,3.0000,%
12367,1130,Incentive,max,200000.0000,$
12368,174,Incentive,max,275.0000,$
12371,3716,Incentive,,300.0000,$/Unit
